Codes;Labels;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
BE;Belgium;:;:;:;89;91;77,8;80,9;82,2;82,1;82,6;83;80,9;82,1;81,2;83
BG;Bulgaria;95;97;96;97;97;97,8;97,8;98,1;93,9;94,5;92,2;93;92;91,5;89,3
CZ;Czechia;:;66;66;67;65;65,8;73,5;80,4;82,6;82,2;84,2;83,6;83;83,8;83,2
DK;Denmark;:;99;100;100;99;99,9;80;80,1;79,1;79,1;78,7;81,9;94,4;94,4;82,3
DE;Germany;:;97;97;95;94;82,5;85,1;84,7;84,7;80,7;81,9;81,6;84,5;79,4;78,9
EE;Estonia;:;:;:;:;94;80;79,2;79,1;79,4;64,4;64,4;64,4;65;65;65
IE;Ireland;88;85;79;79;79;85,9;90;85,7;88,1;84,2;87,2;87,6;85,8;86,5;89,1
EL;Greece;:;:;:;:;:;:;74,8;76,2;81,3;77,4;80,9;87,6;87,6;86,1;85,7
ES;Spain;:;77;77;77;77;79,3;81,5;73,2;72;68;72,3;73,4;71,3;70,7;71,9
FR;France;:;:;:;82;70;84,9;81,8;81,4;84,9;85,9;85,3;84,4;85,9;86,1;86
HR;Croatia;:;:;:;:;73;76,1;76,6;81,9;81,7;79,5;78,8;80,9;83,4;81,9;81,9
IT;Italy;:;:;22;84;79;89,6;91,4;91;90,3;84,2;90,4;91,8;92,4;93;93,9
CY;Cyprus;:;:;77;:;77;84,4;70,4;74,4;77,8;79,4;80,9;80,5;89,3;88,3;88
LV;Latvia;95;:;66;66;67;66;70;70;80;81;80;80;80;80;80
LT;Lithuania;81;82;87;77;4;4,7;17,8;82,1;80;76,8;81,3;82,3;83,1;84,2;82,6
LU;Luxembourg;:;73;73;76;74;83,7;90;92;91,9;91,7;85,4;85,1;83,2;72,3;71,6
HU;Hungary;120;119;96;96;85;97,8;91,2;94,7;96,3;99,3;97,8;94,5;94,8;96,2;94,9
MT;Malta;:;:;:;:;0;:;78,9;:;:;79;81,4;77,9;78,4;78,4;80
NL;Netherlands;94;94;89;84;80;79;72,5;76,2;82,4;61,2;78,1;75,5;82,1;79,4;81
AT;Austria;:;:;:;91;91;84;84,5;84,7;84,6;89,6;89,6;86,4;86,4;86,4;86,4
PL;Poland;:;99;97;99;93;77,3;76,5;76,5;83,4;79,7;77,9;78,4;79,3;78,5;76,8
PT;Portugal;:;75;74;69;69;73,2;70,5;71,1;74;72,2;71,5;72,2;73,1;73,3;73,1
RO;Romania;82;82;81;81;82;82,5;81,7;84,5;86,4;88,1;84,5;90,9;88,2;89,3;:
SI;Slovenia;85;75;82;84;82;75,9;77,3;77,1;77,1;77,2;75,6;75,8;75,5;78,5;74,9
SK;Slovakia;66;73;96;97;93;87,3;92,3;90,5;90,5;91,4;91,2;91,3;90,8;91,2;91,2
FI;Finland;85;85;85;85;85;81,8;82,9;83,1;84,4;84,5;84,9;85,8;82,7;74,9;73,3
SE;Sweden;95;93;93;87;95;75,2;74,2;73,7;73,8;73,9;74,6;68,2;76;:;:
IS;Iceland;:;:;:;:;75,1;81,3;82,3;83;80,1;80,9;80,3;75,2;:;:;:
NO;Norway;:;65;65;65;65;65;78;65,8;81,2;75,7;73,9;80,2;79,9;77,5;77,4
UKN;Northern Ireland (UK) (NUTS 2021);:;:;:;:;:;:;:;:;:;:;86,6;87,6;78,7;80,5;89,1
