TIME_PERIOD,recycling_rate_municipal_pc,flag_municipal,recycling_rate_packaging_pc,flag_packaging,recycling_rate_ewaste_pc,flag_ewaste,waste_incinerated_kg_capita,waste_incinerated_tonnes,waste_incinerated_energy_kg_capita,waste_incinerated_energy_tonnes,waste_landfill_kg_capita,waste_landfill_tonnes,waste_generated_kg_capita,waste_generated_tonnes,waste_reuse_kg_capita,waste_reuse_tonnes,waste_energy_recovery_kg_capita,waste_energy_recovery_tonnes,waste_recycled_total_kg_capita,waste_recycled_total_tonnes,waste_composted_kg_capita,waste_composted_tonnes,waste_recycled_material_kg_capita,waste_recycled_material_tonnes,waste_treated_total_kg_capita,waste_treated_total_tonnes,ed0-2_pc,ed3-8_pc,ed5-8_pc
2000,27.3,i,,,,,37.0,16076.0,84.0,36085.0,262.0,112365.0,513.0,220073.0,,,47.0,20009.0,140.0,60174.0,53.0,22656.0,87.0,37518.0,486.0,208655.0,,,
2001,28.7,i,,,,,37.0,16054.0,87.0,37151.0,250.0,107367.0,509.0,218816.0,,,49.0,21096.0,146.0,62744.0,54.0,23148.0,92.0,39596.0,483.0,207300.0,,,
2002,30.4,i,,,,,38.0,16276.0,90.0,38543.0,241.0,103873.0,515.0,221585.0,,,52.0,22267.0,157.0,67437.0,57.0,24470.0,100.0,42967.0,488.0,209929.0,,,
2003,31.1,i,,,,,36.0,15505.0,90.0,38671.0,229.0,98827.0,502.0,217022.0,,,54.0,23166.0,156.0,67560.0,57.0,24437.0,100.0,43123.0,475.0,205106.0,,,
2004,31.8,i,,,,,38.0,16390.0,95.0,41336.0,214.0,93031.0,500.0,216689.0,,,58.0,24947.0,159.0,68997.0,59.0,25550.0,100.0,43447.0,469.0,203368.0,35.9,64.1,18.0
2005,32.5,i,,,,,41.0,17997.0,103.0,44632.0,202.0,87835.0,506.0,220275.0,,,61.0,26635.0,164.0,71598.0,59.0,25702.0,105.0,45896.0,469.0,204088.0,34.9,65.1,18.6
2006,33.2,i,,,,,41.0,17885.0,111.0,48398.0,202.0,88016.0,513.0,223929.0,,,70.0,30513.0,170.0,74239.0,61.0,26802.0,109.0,47437.0,482.0,210674.0,34.4,65.6,19.0
2007,35.2,,,,,,37.0,16235.0,112.0,48964.0,199.0,87260.0,517.0,226623.0,,,75.0,32729.0,182.0,79817.0,64.0,27861.0,119.0,51956.0,493.0,216041.0,33.7,66.3,19.4
2008,36.6,,,,,,36.0,15822.0,116.0,50901.0,190.0,83474.0,517.0,227486.0,,,80.0,35079.0,189.0,83147.0,69.0,30385.0,120.0,52762.0,495.0,217522.0,32.9,67.1,20.1
2009,37.3,,,,,,35.0,15553.0,117.0,51719.0,185.0,81744.0,509.0,224543.0,,,82.0,36166.0,190.0,83803.0,67.0,29516.0,123.0,54287.0,493.0,217266.0,32.4,67.6,20.9
2010,38.0,,,,81.8,,30.0,13105.0,120.0,53206.0,178.0,78615.0,503.0,222023.0,,,91.0,40102.0,191.0,84317.0,66.0,28987.0,125.0,55330.0,489.0,216139.0,31.7,68.3,21.6
2011,38.9,,,,84.7,,26.0,11675.0,125.0,55227.0,167.0,73618.0,499.0,219853.0,,,99.0,43552.0,194.0,85460.0,66.0,28967.0,128.0,56493.0,486.0,214305.0,30.5,69.5,22.4
2012,40.9,,65.2,,81.4,,20.0,9037.0,122.0,53876.0,153.0,67425.0,487.0,214989.0,,,102.0,44839.0,199.0,87856.0,69.0,30335.0,130.0,57521.0,474.0,209156.0,29.8,70.2,23.2
2013,41.5,,65.4,,82.7,,14.0,6016.0,125.0,55374.0,142.0,62899.0,479.0,211501.0,,,112.0,49359.0,199.0,87815.0,71.0,31367.0,128.0,56449.0,466.0,206088.0,28.8,71.2,24.0
2014,43.4,,66.5,,81.9,,14.0,6172.0,128.0,56547.0,134.0,59209.0,479.0,211876.0,,,114.0,50375.0,208.0,91948.0,74.0,32551.0,134.0,59398.0,469.0,207704.0,28.4,71.6,24.5
2015,44.9,,66.6,,80.8,,18.0,8028.0,129.0,56997.0,127.0,56529.0,481.0,213424.0,,,110.0,48969.0,216.0,95801.0,75.0,33122.0,141.0,62679.0,472.0,209326.0,27.9,72.1,25.2
2016,45.9,,67.6,,84.2,,11.0,4807.0,130.0,57565.0,128.0,56736.0,494.0,219577.0,,,119.0,52758.0,227.0,100801.0,81.0,36036.0,145.0,64613.0,485.0,215635.0,27.4,72.6,25.7
2017,46.3,,67.5,,84.0,,3.0,1335.0,132.0,58618.0,127.0,56448.0,500.0,222511.0,,,129.0,57283.0,231.0,102935.0,84.0,37323.0,147.0,65451.0,491.0,218547.0,26.9,73.1,26.4
2018,46.4,,65.6,,81.7,,2.0,1077.0,131.0,58294.0,125.0,55637.0,501.0,223119.0,,,128.0,57217.0,232.0,103610.0,85.0,37673.0,148.0,65762.0,489.0,218035.0,26.3,73.7,27.2
2019,47.2,i,64.8,,81.3,,2.0,1105.0,131.0,58693.0,124.0,55332.0,505.0,225350.0,,,129.0,57588.0,238.0,106279.0,88.0,39101.0,150.0,66981.0,494.0,220447.0,25.7,74.3,28.0
2020,48.5,,64.0,,83.2,,2.0,1107.0,138.0,61722.0,120.0,53772.0,521.0,232627.0,,,136.0,60615.0,252.0,112745.0,96.0,42784.0,155.0,69025.0,510.0,227572.0,25.1,74.9,29.0
2021,49.7,i,64.0,,81.6,,3.0,1174.0,138.0,61467.0,117.0,52251.0,534.0,238156.0,,,135.0,60294.0,266.0,118424.0,101.0,45240.0,161.0,71632.0,523.0,233179.0,25.1,74.9,29.7
2022,49.1,i,65.3,,80.7,i,2.0,1089.0,132.0,59138.0,116.0,51752.0,514.0,229586.0,,,130.0,58050.0,252.0,112683.0,97.0,43508.0,153.0,68474.0,501.0,223928.0,24.8,75.2,30.2
2023,47.7,i,67.5,i,82.2,bi,2.0,1110.0,132.0,59163.0,111.0,49590.0,511.0,229223.0,,,129.0,58053.0,244.0,109383.0,96.0,42853.0,147.0,66080.0,487.0,218600.0,24.6,75.4,30.9
