STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2004,,25.1,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2005,,24.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2006,,25.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2007,,25.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2008,,24.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2009,,23.8,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2010,,23.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2011,,23.1,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2012,,22.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2013,,22.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2014,,20.3,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2015,,19.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2016,,19.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2017,,19.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2018,,18.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2019,,18.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2020,,18.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2021,,18.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2022,,18.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2023,,18.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,AT,Austria,2024,,18.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BA,Bosnia and Herzegovina,2021,,23.0,,,,,
