STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AL,Albania,2020,,18.1,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AL,Albania,2021,,18.7,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AL,Albania,2022,,18.9,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AL,Albania,2023,,18.8,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2000,,63.4,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2001,,64.3,,e,estimated,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2002,,62.5,,e,estimated,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2003,,64.2,,e,estimated,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2004,,57.4,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2005,,58.3,,e,estimated,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2006,,59.2,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2007,,60.2,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2008,,63.2,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2009,,61.9,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2010,,59.4,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2011,,56.7,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2012,,57.7,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2013,,57.7,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2014,,56.3,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2015,,56.9,,,,,
dataflow,ESTAT:SDG_11_60(1.0),Recycling rate of municipal waste,A,Annual,PC,Percentage,AT,Austria,2016,,57.6,,,,,
