STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,waste,Waste categories,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2000,,69.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2001,,64.3,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2002,,65.9,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2003,,64.2,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2004,,66.2,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2005,,66.9,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2006,,68.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2007,,67.2,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2008,,67.9,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W1501,Packaging,RT_TGT2025,Rate (2025 target and onwards),AT,Austria,2009,,66.9,,,,,
