STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2012,,100.7,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2013,,100.6,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2014,,100.4,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2015,,100.1,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2016,,99.9,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2017,,99.8,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2018,,99.6,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2019,,99.1,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2020,,101.6,,e,estimated,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2021,,101.0,,e,estimated,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AL,Albania,2022,,98.8,,e,estimated,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AT,Austria,2012,,102.3,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AT,Austria,2013,,102.9,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AT,Austria,2014,,103.7,,,,,
dataflow,ESTAT:TPS00003(1.0),Population density,A,Annual,PER_KM2,Persons per square kilometre,AT,Austria,2015,,104.9,,,,,
