Codes;Labels;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU27_2020;European Union - 27 countries (from 2020);:;78;82,2;82,9;82;83,5;84,4;84,6;85,3;85,4;87;87,1;87,9;87,3;89,5;89,1;88,1;89,1;88,3
BE;Belgium;:;87,7;87,9;88;88,4;89;88,2;88,7;88,2;89,2;91,3;92,1;93,2;93,5;92,9;93;93,5;93,5;93,5
BG;Bulgaria;:;82,4;89,5;81;82,7;88,9;90;89,5;93,2;94,1;94,4;94,6;97,6;94,8;95,8;96,1;95,6;94,8;94,6
CZ;Czechia;:;79;79;80;80,3;80,3;80,3;80,3;80,3;80,3;90,2;90,3;91,9;95,5;93,3;97,3;102,2;117,2;88,8
DK;Denmark;:;80;81;82,7;82;90,5;92,8;92,4;86,6;86;91,2;88,8;91,5;89,9;94,6;94,8;82,5;85,5;83,2
DE;Germany;:;86,8;88,1;89,2;82,9;95,5;93,4;92,3;89,8;89,5;87,7;89,3;89,5;87,1;86,9;86,8;90;86,4;86,1
EE;Estonia;:;82,5;82,2;92,4;87,2;77,3;76,1;80,9;77,7;87;86;85,8;85,9;87,1;87,6;87,2;85,5;85,3;86
IE;Ireland;:;78,1;81,3;75,9;78,9;77;80,5;81,8;80,4;82,1;83,3;86;85,9;86,4;87,4;90,3;87,8;88,5;89,5
EL;Greece;:;82,3;84,1;85,7;86,5;84,5;85,2;82,8;88,8;80,4;64,5;100;91,9;98,7;69,7;92,8;91,7;83,5;89
ES;Spain;:;76;81,9;82,5;82,6;82,8;82,9;83;83,6;84,3;85;85,4;85,8;85,9;86;86,2;86,3;86,4;85,9
FR;France;:;79,6;79,8;79,9;78,6;79;80,8;82,4;85,3;85,9;87,5;86,9;87,4;86,9;87,1;87,6;87,6;88,3;89
HR;Croatia;:;:;:;:;:;:;:;97,2;100;89,5;92,8;93,9;99,3;97,4;96,3;97,2;98;96,9;97,6
IT;Italy;69,9;70,3;82,3;84,3;81,8;83,2;84,8;80,8;82,2;83,4;84,6;82,5;83,2;82,6;84,2;84,9;84,3;86;85,8
CY;Cyprus;:;85,4;83,7;78,3;87,1;81,1;84;84,7;84,3;87,7;89,1;90,3;89,2;89,8;88,7;91;90,3;90,6;89,8
LV;Latvia;:;86;88;87;85;85,7;85,4;97,6;92,4;92,2;86,6;94,3;84;96;88,9;84,6;85,7;91,2;96,6
LT;Lithuania;:;88;86,4;85;86;88,1;87,2;89,2;92,1;93,5;94,6;94,9;94,8;92,4;93,5;94,6;94,5;93,9;:
LU;Luxembourg;:;85,1;83;84;81;85;82,9;85;84;87;87;86;94,3;94,1;96,7;97,2;97,1;96,9;95,7
HU;Hungary;:;81,2;81,6;83;84,4;82,1;84,4;84,4;90,7;90,3;94,6;95,4;95,5;95,1;94,4;95,6;97,1;96,8;92,2
MT;Malta;:;:;:;:;:;64,2;87;95,8;91,9;45;77,7;54,4;56,1;81;79,2;90,1;80,8;84,1;62,8
NL;Netherlands;:;82,5;83,1;84,4;84,1;83,3;83,1;83,7;86;86,1;87,7;88,9;87,1;87,1;87,2;88;87,3;87,2;88,1
AT;Austria;:;80;80;83,7;82,9;84,2;82,8;83,4;85;85,8;86,9;87,2;86,6;86,2;87,3;86,1;85,8;85,9;87,4
PL;Poland;:;84,7;72,8;79,5;87,1;88,8;89,5;90,4;88,6;85,5;94,7;94,3;95,7;93,4;118,8;106,8;94,6;95,3;95,8
PT;Portugal;:;82,2;81,7;80,8;84,3;82,8;82,9;82,7;82,9;83,8;84;83,5;85,2;86,1;88,2;87,3;87,9;89,1;89,8
RO;Romania;:;77,1;83,7;83,7;80,1;80,9;82,9;84;83,8;84,1;85,1;85,1;85;85,2;85;85,4;:;:;:
SI;Slovenia;:;76,8;87,2;87,6;84,1;88,6;86,1;100;:;85,9;90,2;91,6;102,9;97,6;89,5;110,1;90,8;86,7;88,5
SK;Slovakia;:;82,8;88;88,4;88,8;88,4;93,1;89,9;92,5;94,8;88,4;96,1;95,7;95,1;95,5;95,6;95,6;95,9;95,9
FI;Finland;80;82;81;81;81;82,5;82,5;82,5;82,5;82,8;82,8;82,8;82,8;82,8;84,7;84,7;84,7;84,7;84,9
SE;Sweden;:;83,4;83;83;86;84,4;84,4;85;84,6;84,4;84,6;86,7;88,2;86,8;87,4;87,7;87,9;87;87,1
IS;Iceland;:;:;:;98,2;83;95,2;82;100;99,6;97,7;98,5;96,8;97,5;97,5;97,4;92,2;96,7;92,1;95,5
LI;Liechtenstein;:;:;2,2;96;76;76;80;77,2;78,2;78,7;80,5;75,6;75,1;74,5;75,7;69,7;74,3;85,7;87,2
NO;Norway;:;83;81,4;82,2;83;83,9;73,6;75,5;75,4;82,9;85,2;85,2;86,2;87,7;85,2;87,3;86,9;88,2;88,2
