country,year,packaging_recycling,municipal_recycling,electrical_recycling,battery_recycling,vehicle_recycling,gdp_per_capita,urban_population_share,population_density,education_attainment,waste_expenditure,joining_year
AT,2000,,63.4,,,,53599.61,60.213,,,0.0556256741371045,1995
AT,2001,,64.3,,,,54098.027,59.934,,,0.0569685976646639,1995
AT,2002,,62.5,,,,54631.6,59.655,,,0.0582176661507935,1995
AT,2003,,64.2,,,,54986.742,59.375,,,0.0568138444120977,1995
AT,2004,,57.4,,,,56048.48,59.094,,15.8,0.0511288917644564,1995
AT,2005,,58.3,73.1,,,56959.637,58.813,,15.0,0.059183312014169,1995
AT,2006,,59.2,79.5,,80.0,58531.51,58.532,,14.7,0.0556969417274901,1995
AT,2007,,60.2,78.7,,80.0,60544.633,58.249,,14.6,0.0535041446872645,1995
AT,2008,,63.2,79.7,,83.7,61232.55,57.966,,15.0,0.0552488256645944,1995
AT,2009,,61.9,79.0,,82.9,58882.14,57.683,,16.0,0.0556407855602666,1995
AT,2010,,59.4,79.9,,84.2,59803.37,57.399,,16.2,0.0541844684933859,1995
AT,2011,,56.7,81.5,,82.8,61346.96,57.115,,16.3,0.0520880692719085,1995
AT,2012,65.9,57.7,80.0,91.0,83.4,61451.55,57.147,102.3,16.9,0.0497500259686788,1995
AT,2013,66.6,57.7,79.0,91.0,85.0,60937.258,57.336,102.9,17.7,0.0488376099301597,1995
AT,2014,66.6,56.3,79.6,84.0,85.8,60919.84,57.526,103.7,27.4,0.0496929125089563,1995
AT,2015,67.1,56.9,81.1,84.5,86.9,61026.0,57.715,104.9,28.1,0.050306547810101,1995
AT,2016,66.8,57.6,81.8,84.7,87.2,61647.78,57.905,106.0,28.9,0.0485531643587392,1995
AT,2017,65.6,57.8,80.2,84.6,86.6,62612.14,58.094,106.8,29.7,0.0469729138205413,1995
AT,2018,65.5,57.7,79.8,89.6,86.2,63855.78,58.297,107.1,30.1,0.047755610875478,1995
AT,2019,65.4,58.2,81.9,89.6,87.3,64688.145,58.515,107.6,31.1,0.0479922809477191,1995
AT,2020,63.7,62.3,82.0,86.4,86.1,60349.902,58.748,107.6,31.3,0.0515347532060555,1995
AT,2021,65.6,62.5,81.6,86.4,85.8,62968.94,58.995,108.1,31.8,0.053861722913799,1995
AT,2022,66.2,62.6,84.0,86.4,85.9,65661.45,59.256,109.6,32.5,0.050443160672489,1995
AT,2023,64.9,62.8,83.3,86.4,87.4,64394.09,59.53,110.7,33.6,,1995
BE,2000,,49.7,,,,50477.992,97.129,,,,1952
BE,2001,,50.4,,,,50857.824,97.186,,,0.397828513061078,1952
BE,2002,,51.5,,,,51494.562,97.241,,,0.41020292400871,1952
BE,2003,,52.9,,,,51811.69,97.296,,,0.412622999206973,1952
BE,2004,,53.5,,,,53430.254,97.35,,26.3,0.42874469375379,1952
BE,2005,,55.6,,,,54370.87,97.403,,27.2,0.427174821069743,1952
BE,2006,,56.1,,,87.7,55392.05,97.454,,27.9,0.395846852693056,1952
BE,2007,,56.8,79.9,,87.9,57008.6,97.505,,28.1,0.39753331451404,1952
BE,2008,,52.7,77.0,,88.0,56812.79,97.555,,28.4,0.475945437280734,1952
BE,2009,,53.9,78.0,,88.4,55283.086,97.603,,29.4,0.467655488306448,1952
BE,2010,,54.8,80.2,,89.0,56265.016,97.651,,30.7,0.412430467588258,1952
BE,2011,,54.4,77.7,,88.2,56610.266,97.698,,30.4,0.416578006638863,1952
BE,2012,80.3,53.4,78.4,89.0,88.7,56381.688,97.744,366.3,31.3,0.404117304330938,1952
BE,2013,78.7,52.8,79.1,91.0,88.2,56287.996,97.789,368.0,31.5,0.401649358582773,1952
BE,2014,81.3,53.8,76.7,77.8,89.2,57028.06,97.833,369.6,32.6,0.366869807743844,1952
BE,2015,81.5,53.5,77.4,80.9,91.3,57534.4,97.876,371.8,32.7,0.366952882395573,1952
BE,2016,81.9,53.5,72.5,82.2,92.1,57927.043,97.919,373.7,33.2,0.379390120557564,1952
BE,2017,83.8,53.9,75.1,82.1,93.2,58555.152,97.961,373.6,35.6,0.387956409392203,1952
BE,2018,85.3,54.4,72.5,82.6,93.5,59383.88,98.001,375.3,36.0,0.401672858009221,1952
BE,2019,83.5,54.7,70.8,83.0,92.9,60506.66,98.041,377.3,36.0,0.41660834595498,1952
BE,2020,79.7,51.4,73.5,80.9,93.0,57358.836,98.079,377.3,37.6,0.447755351469139,1952
BE,2021,80.4,55.5,72.2,82.1,93.5,60669.215,98.117,378.9,39.7,0.399882990197444,1952
BE,2022,80.4,54.7,73.2,81.2,93.5,62744.203,98.153,383.6,40.2,,1952
BE,2023,79.7,55.8,82.8,83.0,93.5,62920.645,98.189,386.8,39.1,,1952
BG,2000,,15.5,,,,12558.974,68.899,,,0.0396801693020557,2007
BG,2001,,16.1,,,,13301.355,69.166,,,0.0253173233615674,2007
BG,2002,,16.3,,,,14391.43,69.524,,,0.467381919222541,2007
BG,2003,,16.5,,,,15265.574,69.879,,,0.444291160595919,2007
BG,2004,,17.2,,,,16382.618,70.233,,17.7,0.479713053693431,2007
BG,2005,,18.3,,,,17671.193,70.584,,17.8,0.503192020629029,2007
BG,2006,,19.1,,,82.4,19017.182,70.932,,18.2,0.660513580362613,2007
BG,2007,,20.6,,,89.5,20432.344,71.278,,18.5,0.473349749666459,2007
BG,2008,,19.4,,,81.0,21837.502,71.622,,18.9,0.463877404285793,2007
BG,2009,,19.9,76.3,95.0,82.7,21242.994,71.963,,19.2,0.551606885705281,2007
BG,2010,,24.5,78.4,97.0,88.9,21715.879,72.302,,19.7,0.542324771288234,2007
BG,2011,,26.2,82.3,96.0,90.0,22312.395,72.638,,20.1,0.551488126245003,2007
BG,2012,66.5,25.0,84.0,97.0,89.5,22610.057,72.975,67.1,20.7,0.546434592001135,2007
BG,2013,65.7,28.5,83.5,97.0,93.2,22945.514,73.313,66.7,22.2,0.609143038338964,2007
BG,2014,62.0,23.1,84.9,97.8,94.1,23446.406,73.651,66.3,23.6,0.631430301448092,2007
BG,2015,64.1,29.4,85.6,97.8,94.4,24553.145,73.99,66.2,24.1,0.712058871122079,2007
BG,2016,63.8,31.8,81.5,98.1,94.6,25626.824,74.329,64.8,24.4,0.572695556184657,2007
BG,2017,65.6,34.6,83.7,93.9,97.6,26681.43,74.669,64.3,24.5,0.566446429231052,2007
BG,2018,60.4,31.5,81.0,94.5,94.8,27739.502,75.008,63.9,24.8,0.59384759080915,2007
BG,2019,61.2,34.6,83.0,92.2,95.8,29199.834,75.347,63.4,24.7,0.573969125811449,2007
